RA_1,DEC_1,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window,RA_2,DEC_2,VIMOS_U,MUSYC_U,MUSYC_U38,MUSYC_B,MUSYC_V,MUSYC_R,MUSYC_I,MUSYC_Z,MUSYC_J,HAWK_J,TENIS_J,MUSYC_H,MUSYC_K,HAWK_K,TENIS_K,SIMPLE_CH1,SIMPLE_CH2,SIMPLE_CH3,SIMPLE_CH4,VIMOS_UE,MUSYC_UE,MUSYC_U38E,MUSYC_BE,MUSYC_VE,MUSYC_RE,MUSYC_IE,MUSYC_ZE,MUSYC_JE,HAWK_JE,TENIS_JE,MUSYC_HE,MUSYC_KE,HAWK_KE,TENIS_KE,SIMPLE_CH1E,SIMPLE_CH2E,SIMPLE_CH3E,SIMPLE_CH4E,zphot,zlo,zhi,Mh,wb_obs,wb_det,Separation,transition,CO2-1,CO3-2,CO4-3
52.965,-27.76472,103.1324,512.6,513,11.14,0.013699,19,0,1,1,1,aless101,spw2123,52.9648421,-27.7648523,27.12899309,999,999,26.45107121,25.93007121,25.25707121,999,999,999,23.560046,24.69089352,23.15607121,999,22.886046,22.85445361,22.05303729,21.55428301,21.03046968,20.76477961,0.109587,0,0,0.244705,0.188618,0.211774,0,0,0,0.109861,0.235456,0.258207,0,0.0893714,0.0804116,0.0304057,0.0265588,0.0761934,0.0303976,2.565,2.364,2.781,-24.29,15,11,0.692708925,,FALSE,FALSE,FALSE
53.20358,-27.52035,104.367,513.5,513.4,13.61,0.018358,19,0,1,1,4,aless112,spw2123,53.2036077,-27.5203593,26.83499309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.52303729,20.19628301,19.83446968,20.25877961,0.0845735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075084,0.00767,0.0259209,0.0191731,1.95,1.689,2.101,-24.67,5,5,0.094561618,,FALSE,FALSE,FALSE
53.0306,-27.85576,90.8227,507.3,513.1,8.19,0.0049,5,0,1,1,10,aless17,spw1719,53.0305348,-27.8557579,25.00099309,25.04707121,25.25007121,24.40307121,24.15907121,23.74307121,23.01007121,22.85507121,21.57207121,21.760046,21.60889352,21.27607121,20.90607121,20.808046,20.60345361,19.93703729,19.74728301,19.76646968,19.93477961,0.0161224,0.0881491,0.233013,0.0408421,0.0395833,0.0564895,0.0618463,0.0811616,0.0589102,0.0218087,0.0152754,0.0504093,0.0701173,0.0136541,0.0104474,0.00438301,0.00507825,0.0243648,0.0142586,1.5,1.428,1.612,-24.46,15,15,0.207659873,CO2-1,TRUE,FALSE,FALSE
53.06867,-27.87972,97.0476,691.2,388.2,8.48,0.005426,9,0,1,1,11,aless34,spw2123,53.0688467,-27.8797119,26.23199309,999,999,25.37807121,25.05307121,24.52407121,24.33907121,23.77307121,23.14607121,23.295046,23.30189352,0,21.71407121,22.005046,21.82045361,20.85403729,20.60528301,20.42246968,20.54877961,0.0493349,0,0,0.0976399,0.0881659,0.112961,0.197365,0.180426,0.231477,0.086993,0.0707972,0,0.142653,0.0406114,0.031735,0.0101722,0.0111608,0.0441753,0.0249763,1.695,1.55,1.844,-23.88,14,12,0.563041943,,FALSE,FALSE,FALSE
53.07346,-27.87434,97.0945,552.8,564.4,7.06,0.006192,17,12,0.988,0.999,23,aless34,spw2123,53.073428,-27.8746129,24.23799309,24.65707121,24.45607121,23.83807121,23.41407121,22.75507121,21.56407121,21.22207121,20.68907121,20.494046,20.45189352,0,19.78107121,19.701046,19.45445361,19.10103729,19.31828301,19.77046968,19.93577961,0.00801411,0.0622943,0.118392,0.0244569,0.0201106,0.0230934,0.0166726,0.018568,0.0265162,0.00684273,0.00528682,0,0.0254,0.00494545,0.00363725,0.00203162,0.00342331,0.0244537,0.0142717,0.75,0.692,0.817,-23.66,14,14,0.987703638,,FALSE,FALSE,FALSE
53.06956,-27.87747,96.9851,665.4,461.9,6.7,0.006074,17,15,0.919,0.995,26,aless34,spw2123,53.0695691,-27.8775227,27.80799309,999,999,999,26.11607121,24.31707121,22.83307121,22.63007121,21.59207121,21.690046,21.55889352,0,21.04907121,20.898046,20.71345361,20.48303729,20.80828301,21.35446968,21.91977961,0.196584,0,0,0,0.220499,0.0941766,0.052765,0.066425,0.0599758,0.0204598,0.0145925,0,0.0796342,0.0148261,0.0115555,0.00723772,0.0134412,0.101482,0.0858328,0.94,0.91,0.982,-22.83,14,11,0.191917312,,FALSE,FALSE,FALSE
53.07489,-27.8759,84.922,511.3,513.4,7.55,0.005563,9,0,1,1,30,aless34,spw1719,53.0749471,-27.8759416,27.27199309,999,999,999,999,999,999,999,999,24.219046,999,0,999,999,999,23.13903729,23.01928301,999,22.68677961,0.124162,0,0,0,0,0,0,0,0,0.193763,0,0,0,0,0,0.0807603,0.098988,0,0.167424,1.89,1.608,2.18,-21.77,14,5,0.235468872,CO2-1,TRUE,FALSE,FALSE
52.79195,-27.87687,97.4882,187.2,189.1,25.2,0.016296,17,0,1,1,31,aless41,allspw,52.792042,-27.8768684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.08503729,19.80428301,19.35646968,19.10777961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00502163,0.00535131,0.0167606,0.00668031,2.75,2.028,7,-26.15,4,4,0.292822376,CO3-2,FALSE,TRUE,FALSE
52.85295,-27.84637,87.6598,175,163.6,25.14,0.013938,13,0,1,1,73,aless49,allspw,52.8529229,-27.8463475,0,999,999,24.59807121,24.30607121,24.06907121,23.82507121,24.02507121,0,0,23.18989352,0,999,22.290046,22.37245361,21.73203729,21.46128301,21.05246968,20.87277961,0,0,0,0.0486996,0.0452044,0.0755975,0.12708,0.223007,0,0,0.0640587,0,0,0.0525111,0.0522644,0.0227039,0.0244029,0.0776985,0.0335282,3.185,2.961,3.385,-24.9,13,11,0.118331246,,FALSE,FALSE,FALSE
53.25915,-27.67653,99.5167,515.7,512.3,6.8,0.00449,9,0,1,0.982,86,aless55,spw2123,53.2593011,-27.67657,24.52799309,24.82007121,24.67507121,24.19707121,24.13507121,24.05807121,23.76007121,999,999,23.383046,23.21889352,999,22.38707121,23.154046,22.62345361,22.21503729,22.04228301,21.61646968,21.14677961,0.010456,0.0720569,0.143175,0.0338927,0.0387332,0.0748611,0.120089,0,0,0.0940281,0.0657412,0,0.251767,0.113129,0.0654551,0.0352198,0.0413461,0.127607,0.0429647,2.28,2.039,2.357,-23.46,15,13,0.502784491,,FALSE,FALSE,FALSE
53.19127,-28.00645,85.3126,509,514.2,7.85,0.005567,9,0,1,1,89,aless61,spw1719,53.1912264,-28.0065472,999,999,999,999,999,999,24.41507121,23.88607121,999,0,22.95689352,999,999,22.687046,22.46145361,22.64403729,22.40928301,999,21.75477961,0,0,0,0,0,0,0.210372,0.198508,0,0,0.0519775,0,0,0.0749079,0.0566146,0.0518838,0.0575402,0,0.0741347,6.38501,6.007,6.699,-25.34,15,7,0.376361757,,FALSE,FALSE,FALSE
53.15219,-27.58151,97.579,519.3,516.4,20.6,0.015951,11,0,1,1,91,aless62,spw2123,53.1521894,-27.5815163,26.11299309,26.22707121,999,25.25207121,24.79207121,24.14007121,23.15607121,23.13407121,21.91707121,0,22.01489352,0,20.55807121,0,20.50145361,19.51203729,19.33828301,19.47346968,19.48077961,0.0443165,0.242927,0,0.08736,0.0699189,0.0805213,0.0704649,0.103837,0.0801489,0,0.0221319,0,0.0513353,0,0.00951472,0.00296522,0.00348685,0.0186513,0.00940698,1.3,1.188,1.423,-24.53,14,13,0.022760663,CO2-1,TRUE,FALSE,FALSE
53.15333,-27.58121,97.579,486.3,526.5,20.28,0.017226,13,1,1,1,92,aless62,spw2123,53.153312,-27.5812379,24.47599309,24.73607121,24.71507121,23.90607121,23.41407121,22.64807121,21.69507121,21.59007121,20.99207121,20.901046,20.76589352,0,19.89607121,0,19.78145361,19.62103729,20.03428301,20.00146968,20.29577961,0.00996928,0.066854,0.148197,0.0260188,0.0201106,0.0209468,0.0187922,0.0259705,0.034916,0.00994053,0.00705409,0,0.0282015,0,0.00491267,0.00327789,0.0066101,0.0301715,0.0198317,0.72,0.651,0.773,-23.13,14,14,0.115702497,,FALSE,FALSE,FALSE
53.15273,-27.58028,97.5946,503.7,556.9,19.55,0.017888,15,5,1,1,96,aless62,spw2123,53.1524671,-27.5802557,27.74499309,999,999,26.37007121,25.21307121,23.97307121,23.00607121,23.11907121,22.76807121,22.608046,22.33089352,0,21.86207121,21.985046,21.73545361,21.53503729,21.93028301,21.97546968,22.72477961,0.1864,0,0,0.228839,0.101529,0.0694002,0.0616252,0.102477,0.168389,0.0470707,0.0295079,0,0.162002,0.0398836,0.0293773,0.0189693,0.0373626,0.17379,0.172937,0.61,0.531,0.669,-20.71,14,12,0.84343838,,FALSE,FALSE,FALSE
53.15438,-27.57977,97.579,455.7,573.5,18.24,0.010679,7,11,1,1,102,aless62,spw2123,53.1542361,-27.5799722,25.41399309,25.53607121,25.20307121,24.30107121,22.98307121,21.73707121,20.30807121,20.24707121,19.57807121,19.531046,19.44789352,0,18.71507121,0,18.63245361,18.61403729,19.15528301,19.31046968,19.98877961,0.0235044,0.135279,0.224092,0.0372419,0.0135624,0.00910108,0.00527093,0.00760261,0.00960514,0.0028238,0.00210006,0,0.00958529,0,0.00170749,0.00129775,0.00294673,0.0160704,0.0149807,0.69,0.645,0.704,-24.17,14,14,0.860643681,,FALSE,FALSE,FALSE
53.14974,-27.58122,97.7509,590.3,526.1,7.77,0.007032,15,46,1,1,137,aless62,spw2123,53.1498245,-27.5811864,27.21499309,999,999,26.14707121,25.73307121,24.57507121,23.29307121,23.26707121,23.24907121,0,22.56189352,0,21.72407121,21.536046,21.50145361,21.07603729,21.44928301,21.63046968,21.63277961,0.118145,0,0,0.189837,0.159501,0.118108,0.079602,0.116665,0.252026,0,0.0363877,0,0.143889,0.0265385,0.0237434,0.0124668,0.0241376,0.129168,0.0664916,0.74,0.643,0.853,-21.67,14,12,0.29551871,,FALSE,FALSE,FALSE
53.21772,-27.59059,84.6876,514.4,514.3,10.18,0.007162,9,0,1,1,140,aless65,spw1719,53.2178853,-27.5905694,26.87699309,999,999,26.29307121,25.73707121,999,999,23.75207121,999,999,999,0,999,999,999,23.20803729,23.73728301,999,22.41477961,0.0877779,0,0,0.21462,0.160048,0,0,0.177237,0,0,0,0,0,0,0,0.085855,0.184231,0,0.132485,2.61,2.283,2.74,-21.87,14,7,0.532595734,,FALSE,FALSE,FALSE
53.38333,-27.90276,97.3601,505.1,509.1,11.13,0.005102,5,4,1,1,147,aless66,spw2123,53.3830919,-27.9029202,0,20.70207121,20.63007121,20.91907121,20.87507121,20.48507121,20.34107121,19.88107121,20.95207121,0,0,0,20.04007121,0,0,19.19403729,19.04128301,18.76946968,18.52077961,0,0.00167738,0.00368196,0.00168022,0.00195642,0.00288097,0.00543319,0.00543247,0.0336724,0,0,0,0.0321425,0,0,0.00221313,0.00265338,0.00979231,0.00389542,2.33,2.269,2.369,-26.32,13,13,0.952063725,,FALSE,FALSE,FALSE
53.38177,-27.89934,97.3133,550,621,9.67,0.008215,15,12,1,1,155,aless66,spw2123,53.3819876,-27.8994327,0,999,999,23.80407121,22.90107121,21.85607121,21.17107121,19.57307121,23.23707121,0,0,0,20.86907121,0,0,22.99203729,23.75528301,21.03846968,999,0,0,0,0.0237111,0.0125816,0.0101504,0.0116362,0.00409322,0.249552,0,0,0,0.0678399,0,0,0.0708599,0.18706,0.0767374,0,3.805,3.765,3.865,-24.4,13,10,0.768546006,,FALSE,FALSE,FALSE
53.27353,-27.55791,97.9448,194.1,169.7,13.61,0.019295,11,0,1,1,180,aless71,allspw,53.2736113,-27.5579273,0,999,999,25.43007121,25.29607121,24.32707121,23.12007121,22.89207121,21.90707121,0,0,0,20.70907121,0,0,18.72503729,18.05128301,17.46546968,17.39177961,0,0,0,0.102211,0.109202,0.095011,0.0682375,0.0838691,0.0794403,0,0,0,0.0587912,0,0,0.00143735,0.00106688,0.00295566,0.00137866,2.505,2.339,2.646,-27.8,13,11,0.266843286,CO3-2,FALSE,TRUE,FALSE
52.86326,-27.93091,97.3475,178.9,197.6,27.3,0.016376,13,0,1,1,184,aless75,allspw,52.8632821,-27.9309248,0,24.81007121,24.57307121,23.60807121,23.34007121,23.11407121,23.07307121,23.17807121,22.12707121,22.671046,22.34089352,0,21.90707121,21.973046,21.91345361,20.66903729,20.03428301,19.20046968,18.27777961,0,0.0714176,0.13108,0.0198303,0.018797,0.0320108,0.0654319,0.107925,0.0965119,0.0498192,0.0297772,0,0.168352,0.0394531,0.0345284,0.00858483,0.0066101,0.0145323,0.00311537,2.385,2.325,2.463,-25.96,13,13,0.088202976,,FALSE,FALSE,FALSE
52.85311,-27.92791,98.6757,308,240.7,7.72,0.00146,3,3,1,1,187,aless75,allspw,52.8531274,-27.9279407,0,999,999,999,999,25.52107121,999,999,0,999,24.69489352,0,0,23.022046,23.22845361,22.73903729,22.28428301,22.21846968,21.53077961,0,0,0,0,0,0.263483,0,0,0,0,0.236237,0,0,0.10076,0.111826,0.0565066,0.0514285,0.213343,0.0606929,3.585,3.203,4.182,-24.44,13,7,0.123603057,CO4-3,FALSE,FALSE,TRUE
53.21193,-27.52823,104.3276,192.3,198.9,12.16,0.009057,17,0,1,1,189,aless87,allspw,53.2119725,-27.5282452,25.35999309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.88403729,20.65628301,20.43046968,20.09977961,0.0223757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104558,0.0116947,0.0444954,0.0165811,3.2,2.729,3.281,-25.68,5,5,0.146296788,,FALSE,FALSE,FALSE
53.21853,-27.5303,104.3276,108,169.1,8.25,0.004878,11,3,1,1,192,aless87,allspw,53.2185205,-27.5303368,27.19699309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.22703729,20.95528301,20.65546968,20.92977961,0.116303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143148,0.0153763,0.0544881,0.0353063,2.035,1.639,2.245,-24.04,5,5,0.135906962,,FALSE,FALSE,FALSE
52.97842,-27.89482,104.4607,506,514.1,10.89,0.010594,19,0,1,1,196,aless88,spw2123,52.9784357,-27.894839,25.76499309,999,999,25.11707121,24.81007121,24.63407121,23.94207121,23.95607121,22.84207121,23.018046,22.99689352,22.69107121,21.74107121,21.713046,21.62245361,20.74003729,20.45728301,20.13446968,20.29077961,0.0323426,0,0,0.0775013,0.0710502,0.12434,0.14064,0.210523,0.179335,0.0680029,0.0538805,0.175046,0.146014,0.0311707,0.0265087,0.00916254,0.00974496,0.0340423,0.0197414,2.195,2.134,2.301,-24.86,15,13,0.084698549, CO3-2,FALSE,TRUE,FALSE
52.97895,-27.89348,104.0857,490.7,558.1,6.49,0.00474,11,3,0.941,0.997,199,aless88,spw2123,52.9789243,-27.8935489,25.82299309,25.65707121,999,24.68007121,24.20007121,24.03307121,23.68207121,23.66807121,999,23.515046,23.32989352,999,22.28607121,22.263046,21.95245361,21.29303729,21.15728301,20.91246968,21.04377961,0.0340897,0.150171,0,0.0524293,0.0410782,0.0732133,0.112179,0.164994,0,0.10561,0.0725863,0,0.23162,0.0512513,0.0357706,0.0152057,0.0184938,0.0685891,0.0391454,2.61,2.426,2.851,-24.44,15,13,0.261171057,,FALSE,FALSE,FALSE
52.97189,-27.90284,102.5542,694.8,251.8,6.05,0.003313,7,4,0.788,0.943,200,aless88,spw2123,52.971815,-27.9029058,27.06599309,999,999,999,26.05607121,25.35907121,23.83307121,23.48507121,22.35507121,0,22.22089352,21.73107121,21.01107121,21.083046,20.88145361,20.18803729,20.13728301,20.36846968,20.39977961,0.103694,0,0,0,0.209718,0.230561,0.127967,0.140988,0.117879,0,0.0266994,0.0757519,0.0769901,0.0175582,0.0134773,0.00552008,0.00726568,0.042073,0.0218054,1.09,0.994,1.255,-23.38,15,12,0.336224702,CO2-1,TRUE,FALSE,FALSE
52.87357,-27.95435,97.0945,544.4,577.5,24.34,0.023947,17,4,1,1,207,aless98,spw2123,52.8737147,-27.9541396,0,25.86007121,999,25.38007121,25.32907121,24.98007121,24.31407121,23.79107121,999,24.255046,23.61689352,0,22.30307121,23.473046,23.15245361,23.25203729,999,999,999,0,0.178629,0,0.0978121,0.112403,0.167561,0.19325,0.183201,0,0.199729,0.0936252,0,0.234907,0.149214,0.104619,0.0892637,0,0,0,0.67,0.458,1.206,-19.45,13,9,0.886252993,,FALSE,FALSE,FALSE
52.87464,-27.9565,97.2664,513.3,507.1,13.22,0.011882,17,45,1,1,248,aless98,spw2123,52.8745848,-27.9563438,0,999,999,999,999,999,24.30407121,999,23.28107121,0,22.66289352,0,21.23507121,0,21.12045361,19.82003729,19.44528301,19.39646968,19.51477961,0,0,0,0,0,0,0.191625,0,0.258733,0,0.0398707,0,0.0938882,0,0.0167703,0.00393607,0.00384734,0.0173846,0.00970489,1.665,1.526,1.783,-24.97,13,7,0.589079495,,FALSE,FALSE,FALSE
